location,x_coord,y_coord,z_coord,orientation
PAL0152291103,65000,0,7500,4
PAL0152291301,65000,0,9000,4
PAL0152291302,65000,0,9000,4
PAL0152291303,65000,0,9000,4
PAL0152310501,65000,0,3000,4
PAL0152310502,65000,0,3000,4
PAL0152310503,65000,0,3000,4
PAL0152310701,65000,0,4500,4
PAL0152310702,65000,0,4500,4
PAL0152310703,65000,0,4500,4
PAL0152310901,65000,0,6000,4
PAL0152310902,65000,0,6000,4
PAL0152310903,65000,0,6000,4
PAL0152311101,65000,0,7500,4
PAL0152311102,65000,0,7500,4
PAL0152311103,65000,0,7500,4
PAL0152311301,65000,0,9000,4
PAL0152311302,65000,0,9000,4
PAL0152311303,65000,0,9000,4
PAL0152330501,65000,0,3000,4
PAL0152330502,65000,0,3000,4
PAL0152330503,65000,0,3000,4
PAL0152330701,65000,0,4500,4
PAL0152330702,65000,0,4500,4
PAL0152330703,65000,0,4500,4
PAL0152330901,65000,0,6000,4
PAL0152330902,65000,0,6000,4
PAL0152330903,65000,0,6000,4
PAL0152331101,65000,0,7500,4
PAL0152331102,65000,0,7500,4
PAL0152331103,65000,0,7500,4
PAL0152331301,65000,0,9000,4
PAL0152331302,65000,0,9000,4
PAL0152331303,65000,0,9000,4
PAL0152350501,65000,0,3000,4
PAL0152350502,65000,0,3000,4
PAL0152350503,65000,0,3000,4
PAL0152350701,65000,0,4500,4
PAL0152350702,65000,0,4500,4
PAL0152350703,65000,0,4500,4
PAL0152350901,65000,0,6000,4
PAL0152350902,65000,0,6000,4
PAL0152350903,65000,0,6000,4
PAL0152351101,65000,0,7500,4
PAL0152351102,65000,0,7500,4
PAL0152351103,65000,0,7500,4
PAL0152351301,65000,0,9000,4
PAL0152351302,65000,0,9000,4
PAL0152351303,65000,0,9000,4
PAL0153020101,69700,39500,0,2
PAL0153020102,69700,40400,0,2
PAL0153020103,69700,41300,0,2
PAL0153020301,69700,39500,1500,2
PAL0153020302,69700,40400,1500,2
PAL0153020303,69700,41300,1500,2
PAL0153020501,69700,39500,3000,2
PAL0153020502,69700,40400,3000,2
PAL0153020503,69700,41300,3000,2
PAL0153020701,69700,39500,4500,2
PAL0153020702,69700,40400,4500,2
PAL0153020703,69700,41300,4500,2
PAL0153020901,69700,39500,6000,2
PAL0153020902,69700,40400,6000,2
PAL0153020903,69700,41300,6000,2
PAL0153021101,69700,39500,7500,2
PAL0153021102,69700,40400,7500,2
PAL0153021103,69700,41300,7500,2
PAL0153021301,69700,39500,9000,2
PAL0153021302,69700,40400,9000,2
PAL0153021303,69700,41300,9000,2
PAL0153021501,69700,39500,10500,2
PAL0153021502,69700,40400,10500,2
PAL0153021503,69700,41300,10500,2
PAL0153040101,69700,42200,0,2
PAL0153040102,69700,43100,0,2
PAL0153040103,69700,44000,0,2
PAL0153040301,69700,42200,1500,2
PAL0153040302,69700,43100,1500,2
PAL0153040303,69700,44000,1500,2
PAL0153040501,69700,42200,3000,2
PAL0153040502,69700,43100,3000,2
PAL0153040503,69700,44000,3000,2
PAL0153040701,69700,42200,4500,2
PAL0153040702,69700,43100,4500,2
PAL0153040703,69700,44000,4500,2
PAL0153040901,69700,42200,6000,2
PAL0153040902,69700,43100,6000,2
PAL0153040903,69700,44000,6000,2
PAL0153041101,69700,42200,7500,2
PAL0153041102,69700,43100,7500,2
PAL0153041103,69700,44000,7500,2
PAL0153041301,69700,42200,9000,2
PAL0153041302,69700,43100,9000,2
